# Logfile created on 2017-06-27 09:19:48 +0000 by logger.rb/56438
[2017-06-27T09:19:48+00:00] INFO: Started chef-zero at chefzero://localhost:8889 with repository at /opt/gitlab/embedded
  One version per cookbook

[2017-06-27T09:19:48+00:00] INFO: Forking chef instance to converge...
[2017-06-27T09:19:48+00:00] INFO: *** Chef 12.12.15 ***
[2017-06-27T09:19:48+00:00] INFO: Platform: x86_64-linux
[2017-06-27T09:19:48+00:00] INFO: Chef-client pid: 35
[2017-06-27T09:19:48+00:00] WARN: unable to detect ipaddress
[2017-06-27T09:19:49+00:00] INFO: HTTP Request Returned 404 Not Found: Object not found: chefzero://localhost:8889/nodes/mwregistry.truecorp.th
[2017-06-27T09:19:49+00:00] INFO: Setting the run_list to ["recipe[gitlab]"] from CLI options
[2017-06-27T09:19:49+00:00] INFO: Run List is [recipe[gitlab]]
[2017-06-27T09:19:49+00:00] INFO: Run List expands to [gitlab]
[2017-06-27T09:19:49+00:00] INFO: Starting Chef Run for mwregistry.truecorp.th
[2017-06-27T09:19:49+00:00] INFO: Running start handlers
[2017-06-27T09:19:49+00:00] INFO: Start handlers complete.
[2017-06-27T09:19:49+00:00] INFO: HTTP Request Returned 404 Not Found: Object not found: 
[2017-06-27T09:19:50+00:00] INFO: Loading cookbooks [gitlab@0.0.1, runit@0.14.2, package@0.0.0, registry@0.1.0]
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/resources/postgresql_user.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgresql-bin.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-rails.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis-exporter.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitaly.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remove_accounts.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/resources/templatesymlink.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgresql.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/add_trusted_certs.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mattermost_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgresql_user.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/node-exporter_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-prometheus.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgresql_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-monitor_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mattermost.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/default.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgres-exporter_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitaly_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/show_config.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/web-server.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-shell.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/database_migrations.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis-exporter_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-healthcheck.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-monitor.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/node-exporter.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgres-exporter.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/config.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/selinux.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/definitions/storage_directory.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_folders_and_configs.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/users.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus_user.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/account_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_service.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/definitions/redis_service.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/definitions/env_dir.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages_disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/prometheus.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/definitions/sysctl.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/definitions/account.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/incoming_email.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/definitions/sidekiq_service.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitaly.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/registry.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/matchers.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_config.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/pg_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logging.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/unicorn.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/nginx.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_pages.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/secrets_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/storage_directory_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/geo_pg_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/postgresql.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/shell_out_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/authorizer_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_pg_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/version_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/mattermost_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/redhat_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_mattermost.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/prometheus_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/single_quote_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-run.erb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_rails.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_shell.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/certificate_helper.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_uri.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_workhorse.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/attributes/default.rb in the cache.
